,Rx_Tx,state_1_rssi(dBm),state_2_rssi(dBm),state_3_rssi(dBm),state_4_rssi(dBm),state_5_rssi(dBm)
0,1_2,-68.04166666666667,-62.77604166666666,-62.137724550898206,-60.714285714285715,-64.8046875
1,1_11,-65.69230769230771,-67.12162162162164,-63.85,-57.8,-69.53846153846153
2,1_12,-67.46296296296296,-63.75862068965517,-57.93333333333333,-57.0,-63.653846153846146
3,1_13,-71.66197183098592,-58.125,-58.0952380952381,-58.0,-62.05633802816902
4,1_14,-68.7,-59.0,-67.2051282051282,-59.75,-61.2686567164179
5,1_15,-68.0,-69.21333333333334,-66.63793103448276,-59.058823529411775,-61.125
6,1_16,-67.65,-67.09375,-65.02666666666667,-62.1,-60.9672131147541
7,1_17,-70.35897435897436,-65.0,-65.42424242424242,-64.5,-61.56666666666667
8,1_18,-67.2361111111111,-64.62337662337664,-66.57377049180327,-69.0,-63.720588235294116
9,1_19,-66.55714285714286,-65.69841269841271,-68.69117647058823,-63.5,-66.59701492537313
10,2_2,-62.208,-62.0887573964497,-60.41935483870968,-61.04864864864865,-65.61946902654867
11,2_11,-68.76470588235293,-67.72340425531915,-59.11764705882353,-58.111111111111114,-65.27777777777777
12,2_12,-69.30666666666667,-57.22222222222222,-57.5625,-57.25,-59.72222222222222
13,2_13,-62.19047619047619,-55.875,-57.81818181818182,-67.0,-58.78082191780822
14,2_14,-60.13636363636363,-55.88235294117647,-58.1875,-65.55555555555556,-58.12307692307692
15,2_15,-59.56521739130435,-56.526315789473685,-58.77777777777778,-63.89655172413793,-57.444444444444436
16,2_16,-58.85,-62.4,-59.79166666666666,-64.05555555555556,-58.911764705882355
17,2_17,-58.47368421052632,-67.8735632183908,-60.6,-64.39622641509433,-59.0
18,2_18,-67.29885057471265,-66.69767441860465,-65.7,-64.94339622641509,-59.720588235294116
19,2_19,-66.0945945945946,-69.53521126760563,-69.45454545454545,-65.31481481481481,-63.18666666666667
20,3_2,-58.69477911646587,-58.31081081081082,-62.50877192982456,-62.29545454545455,-67.06611570247934
21,3_11,-72.8888888888889,-59.235294117647065,-67.36363636363636,-66.8,-64.27868852459017
22,3_12,-63.68,-56.72727272727273,-58.88235294117647,-67.42857142857143,-59.13846153846154
23,3_13,-58.9,-55.79166666666666,-68.41176470588235,-63.018867924528294,-57.048387096774185
24,3_14,-57.85,-55.57142857142857,-66.54237288135593,-61.38775510204081,-57.13432835820896
25,3_15,-56.40909090909091,-56.1,-64.17910447761193,-60.25,-56.95588235294117
26,3_16,-55.875,-56.8,-64.9298245614035,-60.32692307692307,-56.17460317460318
27,3_17,-55.66666666666666,-57.8,-63.935483870967744,-60.7457627118644,-54.5
28,3_18,-56.61904761904761,-59.6,-64.875,-58.523809523809526,-56.15
29,3_19,-63.03703703703704,-67.7,-66.45762711864407,-61.29090909090909,-62.66666666666666
30,4_2,-59.34728033472803,-62.671328671328666,-63.31845238095239,-64.69565217391305,-68.84210526315789
31,4_11,-72.46,-68.47619047619048,-67.0701754385965,-69.22222222222223,-64.96825396825396
32,4_12,-63.0625,-58.055555555555564,-59.81818181818182,-68.02083333333333,-59.375
33,4_13,-58.45833333333334,-56.6,-67.43939393939394,-62.755555555555546,-59.79746835443038
34,4_14,-57.19047619047619,-56.45454545454545,-65.19402985074628,-60.480769230769226,-58.485714285714295
35,4_15,-55.875,-56.764705882352935,-63.88888888888889,-59.849056603773576,-55.622950819672134
36,4_16,-55.58333333333334,-63.04347826086956,-63.46969696969697,-58.95454545454545,-54.379310344827594
37,4_17,-54.94736842105264,-69.3012048192771,-63.14754098360656,-60.519230769230774,-54.526315789473685
38,4_18,-59.45454545454545,-68.2840909090909,-62.849056603773576,-57.488372093023266,-55.877192982456144
